batch,horizon_h,variable,rmse,mae,pearson
20,12,msl,0.6859838962554932,0.5284714698791504,0.811090886592865
20,18,u10,0.8781232237815857,0.6564912796020508,0.30375203490257263
20,18,v10,1.1456040143966675,0.8841116428375244,-0.1906748265028
20,18,t2m,0.5404205918312073,0.4308595061302185,0.8696044087409973
20,18,msl,0.8082955479621887,0.6600845456123352,0.7352105379104614
20,24,u10,0.883109450340271,0.654578685760498,0.05913955345749855
20,24,v10,1.39291250705719,1.014819622039795,-0.2998703420162201
20,24,t2m,0.564542293548584,0.44424891471862793,0.8795459866523743
20,24,msl,0.994334876537323,0.8222365379333496,0.46247804164886475
21,6,u10,0.8559379577636719,0.6524795293807983,0.553901731967926
21,6,v10,0.8154364824295044,0.6158130168914795,0.4625152051448822
21,6,t2m,0.6120269894599915,0.48355919122695923,0.8183584213256836
21,6,msl,0.5174803733825684,0.4043174982070923,0.8794834017753601
21,12,u10,0.7766379117965698,0.5902988314628601,0.404693603515625
21,12,v10,0.9789976477622986,0.780362069606781,-0.026550941169261932
21,12,t2m,0.5621811747550964,0.44516611099243164,0.8658257126808167
21,12,msl,0.6371258497238159,0.5168882012367249,0.7653162479400635
21,18,u10,0.8937998414039612,0.6607307195663452,-0.025914957746863365
21,18,v10,1.2580878734588623,0.9303684234619141,-0.2730673551559448
21,18,t2m,0.5523087382316589,0.43990421295166016,0.868949294090271
21,18,msl,0.9181563854217529,0.7347613573074341,0.39574724435806274
21,24,u10,1.3276679515838623,0.9381488561630249,-0.31588810682296753
21,24,v10,1.4098773002624512,0.9657202959060669,-0.2709040939807892
21,24,t2m,0.5114902257919312,0.4171193242073059,0.8750566840171814
21,24,msl,1.370847225189209,1.0175609588623047,-0.01351140160113573
22,6,u10,0.6549490690231323,0.48361048102378845,0.3511725068092346
22,6,v10,0.8636049628257751,0.6724573969841003,0.46340224146842957
22,6,t2m,0.573835551738739,0.44551733136177063,0.8456177115440369
22,6,msl,0.513914167881012,0.4051956534385681,0.8307114839553833
22,12,u10,0.8378646373748779,0.6227116584777832,-0.04518003389239311
22,12,v10,1.2602726221084595,0.9194759726524353,-0.14637161791324615
22,12,t2m,0.5393248796463013,0.4298693537712097,0.8583033084869385
22,12,msl,0.8229104280471802,0.6296404600143433,0.4258064329624176
22,18,u10,1.3149925470352173,0.9270508289337158,-0.32433927059173584
22,18,v10,1.2113829851150513,0.831302285194397,-0.07036382704973221
22,18,t2m,0.4974951148033142,0.40805163979530334,0.8832796216011047
22,18,msl,1.0925689935684204,0.74162757396698,-0.003663420444354415
22,24,u10,1.4973013401031494,1.129561185836792,-0.28489217162132263
22,24,v10,0.8364564776420593,0.6601181626319885,0.3413398563861847
22,24,t2m,0.5304104685783386,0.4275130033493042,0.8774685859680176
22,24,msl,1.2276045083999634,0.9416689276695251,-0.2948838770389557
23,6,u10,0.8056283593177795,0.5870392322540283,0.1211884543299675
23,6,v10,1.069399356842041,0.7763921022415161,0.45439621806144714
23,6,t2m,0.4510088860988617,0.36340081691741943,0.8909198641777039
23,6,msl,0.7322213053703308,0.5817995071411133,0.665513277053833
23,12,u10,1.2556993961334229,0.9035687446594238,-0.2299392819404602
23,12,v10,0.9950308799743652,0.7114907503128052,0.18455952405929565
23,12,t2m,0.5564588904380798,0.45507192611694336,0.861895740032196
23,12,msl,0.8431041240692139,0.601697564125061,0.11833889782428741
23,18,u10,1.2740963697433472,0.9714562892913818,-0.2687286138534546
23,18,v10,0.8115366101264954,0.6465089917182922,0.2816159427165985
23,18,t2m,0.4970516562461853,0.39805543422698975,0.8937023282051086
23,18,msl,0.8663172721862793,0.6621191501617432,-0.24817779660224915
23,24,u10,1.391790747642517,1.059936285018921,-0.3320752680301666
23,24,v10,1.133978009223938,0.8376741409301758,-0.03949694335460663
23,24,t2m,0.5161578059196472,0.42256996035575867,0.8916279673576355
23,24,msl,1.2275993824005127,0.9008673429489136,-0.32813164591789246
24,6,u10,1.0246367454528809,0.7354984879493713,0.42159488797187805
24,6,v10,0.6633347868919373,0.5063518285751343,0.5215355753898621
24,6,t2m,0.5162492394447327,0.4188278317451477,0.8784059882164001
24,6,msl,0.5852505564689636,0.45620477199554443,0.560728132724762
24,12,u10,1.1124651432037354,0.8483200073242188,0.00863746739923954
24,12,v10,0.719219446182251,0.5531438589096069,0.1753980666399002
24,12,t2m,0.5304497480392456,0.43996477127075195,0.8786661624908447
24,12,msl,0.6740469336509705,0.5513034462928772,0.10765274614095688
24,18,u10,1.2543433904647827,0.9415714144706726,-0.2066541463136673
24,18,v10,1.0531034469604492,0.7983212471008301,0.06899009644985199
24,18,t2m,0.5328627228736877,0.43830084800720215,0.8934187889099121
24,18,msl,1.0746421813964844,0.7976720333099365,-0.17916950583457947
24,24,u10,1.0632750988006592,0.8484305739402771,-0.34426403045654297
24,24,v10,1.3529242277145386,1.0927650928497314,0.399970680475235
24,24,t2m,0.5178244709968567,0.4134618043899536,0.9181528091430664
24,24,msl,1.1156986951828003,0.8434402346611023,-0.10238221287727356
25,6,u10,0.9217016696929932,0.6707528829574585,0.6105600595474243
25,6,v10,0.7335031628608704,0.5207845568656921,0.15913160145282745
25,6,t2m,0.4723072946071625,0.3876267671585083,0.8921496272087097
25,6,msl,0.7855232954025269,0.6098905801773071,0.4460084140300751
25,12,u10,1.1149790287017822,0.835674524307251,0.09384094178676605
25,12,v10,1.0648688077926636,0.8457304239273071,0.22849135100841522
25,12,t2m,0.5404619574546814,0.4262468218803406,0.8950738310813904
25,12,msl,1.1702386140823364,0.8809050917625427,0.05737851932644844
25,18,u10,0.8918290734291077,0.7073871493339539,-0.21159236133098602
25,18,v10,1.2251811027526855,1.0029183626174927,0.44438081979751587
25,18,t2m,0.5407054424285889,0.4280003309249878,0.9026772379875183
25,18,msl,1.0452040433883667,0.8153443336486816,-0.002829719567671418
25,24,u10,0.987985372543335,0.7863022685050964,-0.1222463846206665
25,24,v10,1.0041559934616089,0.7644959688186646,0.5126019716262817
25,24,t2m,0.5425122380256653,0.41588419675827026,0.8867226243019104
25,24,msl,0.8262204527854919,0.6851891875267029,0.23247312009334564
26,6,u10,0.9031819105148315,0.6815358400344849,0.5310412645339966
26,6,v10,1.0544630289077759,0.8509307503700256,0.505876898765564
26,6,t2m,0.5092306733131409,0.40906596183776855,0.929703414440155
26,6,msl,1.0531330108642578,0.7858908772468567,0.5904902815818787
26,12,u10,0.8144713640213013,0.6393413543701172,-0.04430713877081871
26,12,v10,1.1389214992523193,0.9216548204421997,0.4870637357234955
26,12,t2m,0.5767540335655212,0.43806973099708557,0.9052821397781372
